,id,version,set_num
32239,134106,1,71033-10
32240,134107,1,71033-11
32241,134108,1,71033-12
32242,134109,1,71033-14
32243,134111,1,71035-1
32244,134117,1,71033-13
32245,134163,1,fig-012512
32246,134174,1,6401988-1
32247,134185,1,76207-1
32248,134293,1,242212-1
32249,134372,1,892288-1
32250,134381,1,30390-1
32251,134384,1,fig-012514
32252,134439,2,9444-1
32253,134475,1,75341-1
32254,134481,1,76216-1
32255,134564,1,fig-012515
32256,134565,1,fig-012516
32257,134566,1,fig-012517
32258,134567,1,fig-012518
32259,134568,1,fig-012519
32260,134569,1,fig-012520
32261,134570,1,fig-012521
32262,134571,1,fig-012522
32263,134572,1,fig-012523
32264,134574,1,fig-012524
32265,134576,1,fig-012525
32266,134577,1,fig-012526
32267,134586,1,41714-1
32268,134720,1,6427871-1
32269,134768,2,60243-1
32270,134821,1,fig-012527
32271,134822,1,fig-012528
32272,134823,1,fig-012529
32273,134825,1,fig-012531
32274,134826,1,5711938249311-1
32275,134828,1,fig-012532
32276,134829,1,fig-012533
32277,134830,1,fig-012534
32278,134831,1,fig-012535
32279,134832,1,fig-012536
32280,134856,1,9788325338213-1
32281,134857,1,9788325338886-1
32282,134888,1,fig-012537
32283,134889,1,fig-012538
32284,134890,1,fig-012539
32285,134891,1,fig-012540
32286,134892,1,fig-012541
32287,134893,1,fig-012542
32288,134894,1,fig-012543
32289,134895,1,fig-012544
32290,134896,1,fig-012545
32291,134897,1,fig-012546
32292,134898,1,fig-012547
32293,134899,1,fig-012548
32294,134900,1,fig-012549
32295,134901,1,fig-012550
32296,134902,1,fig-012551
32297,134903,1,fig-012552
32298,134904,1,fig-012553
32299,134907,1,fig-012555
32300,134908,1,fig-012556
32301,134909,1,fig-012557
32302,134910,1,fig-012558
32303,134911,1,fig-012559
32304,134912,1,fig-012560
32305,134981,1,9061-1
32306,135036,1,5007403-1
32307,135038,1,40531-1
32308,135105,1,fig-012561
32309,135106,1,fig-012562
32310,135114,1,fig-012564
32311,135115,1,fig-012565
32312,135118,1,fig-012567
32313,135120,1,fig-012568
32314,135122,1,fig-012570
32315,135123,1,fig-012571
32316,135137,1,fig-012573
32317,135138,1,fig-012574
32318,135139,1,fig-012575
32319,135140,1,fig-012576
32320,135141,1,fig-012577
32321,135142,1,fig-012578
32322,135143,1,fig-012579
32323,135144,1,fig-012580
32324,135147,1,fig-012581
32325,135369,2,42118-1
32326,135422,1,912283-1
32327,135429,1,5007227-1
32328,135430,1,5007226-1
32329,135456,1,fig-012582
32330,135457,1,fig-012583
32331,135458,1,fig-012584
32332,135460,1,fig-012586
32333,135461,1,fig-012587
32334,135480,1,fig-012588
32335,135488,1,40526-1
32336,135499,2,7669-1
32337,135507,1,562203-1
32338,135543,2,10680-1
32339,135544,1,fig-012589
32340,135546,1,76217-1
32341,135554,1,60354-1
32342,135582,1,10777-1
32343,135583,1,10778-1
32344,135584,1,10780-1
32345,135585,1,10963-1
32346,135586,1,10971-1
32347,135587,1,10972-1
32348,135588,1,10973-1
32349,135589,1,10974-1
32350,135590,1,10975-1
32351,135591,1,10977-1
32352,135592,1,21184-1
32353,135593,1,21185-1
32354,135594,1,21186-1
32355,135595,1,21188-1
32356,135596,1,31131-1
32357,135597,1,31132-1
32358,135598,1,41696-1
32359,135599,1,41705-1
32360,135600,1,41708-1
32361,135601,1,41710-1
32362,135602,1,41711-1
32363,135603,1,41712-1
32364,135604,1,41715-1
32365,135605,1,41716-1
32366,135606,1,41717-1
32367,135607,1,41719-1
32368,135608,1,41720-1
32369,135609,1,41953-1
32370,135610,1,41954-1
32371,135611,1,41955-1
