,inventory_id,set_num,quantity
2228,16594,71017-5,1
2229,16594,71017-6,1
2230,16594,71017-7,1
2231,16594,71017-8,1
2232,16594,71017-9,1
2233,18701,71018-1,1
2234,18701,71018-10,1
2235,18701,71018-11,1
2236,18701,71018-12,1
2237,18701,71018-13,1
2238,18701,71018-14,1
2239,18701,71018-15,1
2240,18701,71018-16,1
2241,18701,71018-2,1
2242,18701,71018-3,1
2243,18701,71018-4,1
2244,18701,71018-5,1
2245,18701,71018-6,1
2246,18701,71018-7,1
2247,18701,71018-8,1
2248,18701,71018-9,1
2249,20344,41305-1,1
2250,20344,41306-1,1
2251,20344,41307-1,1
2252,20344,41308-1,1
2253,20344,41309-1,1
2254,20344,5004395-1,1
2255,20976,60136-1,1
2256,20976,60137-1,1
2257,20976,60138-1,1
2258,21129,70900-1,1
2259,21129,70903-1,1
2260,21131,75164-1,1
2261,21131,75165-1,1
2262,21160,60100-1,1
2263,21160,60106-1,1
2264,21160,60136-1,1
2265,21160,60157-1,1
2266,21160,60163-1,1
2267,21161,75166-1,1
2268,21161,75167-1,1
2269,21162,60073-1,1
2270,21162,60074-1,1
2271,21162,60076-1,1
2272,21163,60090-1,1
2273,21163,60091-1,1
2274,21163,60092-1,1
2275,21163,60093-1,1
2276,21164,41110-1,1
2277,21164,41111-1,1
2278,21164,41112-1,1
2279,21170,41110-1,1
2280,21170,41116-1,1
2281,21170,41119-1,1
2282,21171,60121-1,1
2283,21171,60122-1,1
2284,21171,60123-1,1
2285,21173,60105-1,1
2286,21173,60106-1,1
2287,21173,60107-1,1
2288,21174,75125-1,1
2289,21174,75127-1,1
2290,21174,75130-1,1
2291,21175,41091-1,1
2292,21175,41095-1,1
2293,21175,41103-1,1
2294,21323,10506-1,1
2295,21323,10507-1,1
2296,21323,10522-1,1
2297,21324,10506-1,1
2298,21324,10508-1,1
2299,21324,10601-1,1
2300,21393,10521-1,1
2301,21393,10522-1,1
2302,21393,10525-1,1
2303,21394,75073-1,1
2304,21394,75074-1,1
2305,21394,75077-1,1
2306,21395,75072-1,1
2307,21395,75075-1,1
2308,21395,75076-1,1
2309,21396,60001-1,1
2310,21396,60011-1,1
2311,21396,60043-1,1
2312,21397,41026-1,1
2313,21397,41027-1,1
2314,21397,41029-1,1
2315,21399,60000-1,1
2316,21399,60001-1,1
2317,21399,60003-1,1
2318,21399,60010-1,1
2319,21401,41004-1,1
2320,21401,41005-1,1
2321,21401,41013-1,1
2322,21402,75002-1,1
2323,21402,75004-1,1
2324,21402,75012-1,1
2325,21403,44000-1,1
2326,21403,44001-1,1
2327,21404,75015-1,1
2328,21404,75016-1,1
2329,21404,75019-1,1
2330,21405,70005-1,1
2331,21405,70009-1,1
2332,21406,60003-1,1
2333,21406,60007-1,1
2334,21406,60013-1,1
2335,21407,44010-1,1
2336,21407,44011-1,1
2337,21408,44008-1,1
2338,21408,44009-1,1
2339,21409,44001-1,1
2340,21409,44004-1,1
2341,21409,44007-1,1
2342,21410,44001-1,1
2343,21410,44006-1,1
2344,21410,44007-1,1
2345,21411,44001-1,1
2346,21411,44003-1,1
2347,21411,44007-1,1
2348,21412,44012-1,1
2349,21412,44013-1,1
2350,21413,41017-1,1
2351,21413,41018-1,1
2352,21413,41019-1,1
2353,21413,41020-1,1
2354,21413,41021-1,1
2355,21413,41022-1,1
2356,21413,41023-1,1
2357,21413,41024-1,1
2358,21413,41025-1,1
2359,21414,70200-1,1
2360,21414,70201-1,1
2361,21415,70202-1,1
2362,21415,70205-1,1
2363,21416,70203-1,1
2364,21416,70204-1,1
2365,21428,5679-1,1
2366,21428,5680-1,1
2367,21428,5681-1,1
2368,21430,2063-1,1
2369,21430,2142-1,1
2370,21431,2068-1,1
2371,21431,2141-1,1
2372,21432,5643-1,1
2373,21432,5644-1,1
2374,21432,5645-1,1
2375,21432,5646-1,1
2376,21601,71020-0,60
2377,23231,71021-1,1
2378,23231,71021-10,1
2379,23231,71021-11,1
2380,23231,71021-12,1
2381,23231,71021-13,1
2382,23231,71021-14,1
2383,23231,71021-15,1
2384,23231,71021-16,1
2385,23231,71021-17,1
2386,23231,71021-2,1
2387,23231,71021-3,1
2388,23231,71021-4,1
2389,23231,71021-5,1
2390,23231,71021-6,1
2391,23231,71021-7,1
2392,23231,71021-8,1
2393,23231,71021-9,1
2394,23232,71021-0,60
2395,23385,10706-1,1
2396,23385,10707-1,1
2397,23385,10708-1,1
2398,23385,10709-1,1
2399,24377,451-1,1
2400,24377,452-2,1
2401,24377,453-2,1
