,inventory_id,fig_num,quantity
719,1021,fig-000411,1
720,1021,fig-005845,1
721,1021,fig-005846,1
722,1025,fig-005262,1
723,1025,fig-005528,1
724,1025,fig-005541,1
725,1033,fig-001001,1
726,1036,fig-000129,1
727,1038,fig-000631,1
728,1039,fig-000039,1
729,1039,fig-000225,3
730,1041,fig-001118,1
731,1073,fig-006455,1
732,1073,fig-006456,1
733,1075,fig-003310,1
734,1087,fig-000248,1
735,1087,fig-000781,1
736,1090,fig-000741,1
737,1090,fig-002308,2
738,1094,fig-000065,2
739,1097,fig-007258,1
740,1097,fig-007259,1
741,1101,fig-000748,1
742,1102,fig-009773,1
743,1102,fig-009774,1
744,1105,fig-003373,1
745,1105,fig-003374,1
746,1105,fig-003375,1
747,1105,fig-003376,1
748,1108,fig-001127,1
749,1112,fig-001875,1
750,1116,fig-004063,1
751,1116,fig-004205,1
752,1116,fig-004206,1
753,1116,fig-004207,1
754,1116,fig-004208,1
755,1120,fig-000438,1
756,1120,fig-000734,1
757,1120,fig-001211,1
758,1120,fig-004370,1
759,1120,fig-004372,2
760,1120,fig-010619,1
761,1127,fig-008658,2
762,1127,fig-008660,1
763,1128,fig-001420,1
764,1134,fig-000129,1
765,1134,fig-002229,1
766,1134,fig-005982,1
767,1134,fig-005983,1
768,1134,fig-005985,1
769,1134,fig-005987,1
770,1137,fig-000782,2
771,1137,fig-004697,2
772,1138,fig-011034,1
773,1141,fig-000129,1
774,1141,fig-006394,1
775,1161,fig-000762,2
776,1164,fig-000705,1
777,1164,fig-008585,1
778,1164,fig-008586,1
779,1164,fig-008587,1
780,1164,fig-008588,1
781,1164,fig-008589,1
782,1167,fig-003042,1
783,1167,fig-003043,1
784,1171,fig-000406,5
785,1175,fig-000878,1
786,1180,fig-007349,1
787,1180,fig-008580,1
788,1180,fig-008581,1
789,1182,fig-000478,1
790,1182,fig-000689,2
791,1184,fig-000636,1
792,1184,fig-001004,1
793,1184,fig-001200,1
794,1184,fig-004836,2
795,1184,fig-004838,1
796,1184,fig-004844,1
797,1184,fig-004845,1
798,1191,fig-000875,1
799,1192,fig-000525,1
800,1194,fig-000501,1
801,1198,fig-000787,1
802,1198,fig-007788,1
803,1198,fig-007803,1
804,1198,fig-007804,1
805,1198,fig-007805,1
806,1198,fig-007806,1
807,1198,fig-007807,1
808,1200,fig-000911,1
809,1206,fig-005700,1
810,1206,fig-005733,1
811,1206,fig-005734,1
812,1207,fig-000116,1
813,1207,fig-000419,1
814,1207,fig-007208,1
815,1207,fig-007210,1
816,1207,fig-007211,1
817,1207,fig-007212,1
818,1211,fig-004536,1
819,1213,fig-003490,1
820,1213,fig-003491,1
821,1214,fig-000718,1
822,1215,fig-001378,1
823,1234,fig-005898,1
824,1234,fig-005899,1
825,1234,fig-005900,1
826,1234,fig-005901,1
827,1234,fig-005902,1
828,1250,fig-000582,1
829,1253,fig-003697,1
830,1266,fig-008110,1
831,1266,fig-008111,1
832,1274,fig-001362,1
833,1279,fig-000374,1
834,1281,fig-000018,1
835,1291,fig-000327,1
836,1293,fig-004385,1
837,1293,fig-004386,1
838,1302,fig-010226,1
839,1302,fig-010227,1
840,1302,fig-010228,1
841,1305,fig-007690,1
842,1305,fig-008311,1
843,1305,fig-008312,1
844,1305,fig-008313,1
845,1305,fig-008314,1
846,1305,fig-008315,1
847,1305,fig-008316,1
848,1305,fig-008317,1
849,1305,fig-008318,1
850,1311,fig-009466,1
851,1311,fig-009467,1
852,1321,fig-000195,1
853,1321,fig-000464,1
854,1321,fig-000526,1
855,1321,fig-000629,1
856,1321,fig-000631,1
857,1321,fig-000802,1
858,1321,fig-002226,1
859,1321,fig-002229,3
860,1324,fig-000716,1
861,1325,fig-000073,1
862,1335,fig-010489,1
863,1338,fig-000406,5
864,1340,fig-008218,1
865,1340,fig-008488,1
866,1355,fig-006052,1
867,1355,fig-006054,1
868,1357,fig-003319,1
869,1357,fig-003320,1
870,1360,fig-001332,1
871,1364,fig-000032,1
872,1364,fig-004630,1
873,1364,fig-005014,1
874,1368,fig-001541,1
875,1369,fig-003517,1
876,1369,fig-003622,1
877,1369,fig-003623,1
878,1380,fig-000290,1
879,1380,fig-000292,1
880,1380,fig-006598,1
881,1387,fig-000065,1
882,1387,fig-010419,1
883,1388,fig-000032,1
884,1388,fig-005007,1
885,1388,fig-005008,1
886,1388,fig-005009,1
887,1388,fig-005011,1
888,1393,fig-003913,1
889,1393,fig-003916,1
890,1393,fig-003919,1
891,1393,fig-003921,1
892,1393,fig-003922,1
893,1393,fig-003923,1
894,1399,fig-000840,1
895,1399,fig-002446,1
896,1399,fig-002447,1
897,1399,fig-002448,1
898,1402,fig-000672,1
899,1405,fig-000263,1
900,1406,fig-001196,3
901,1406,fig-008015,1
902,1407,fig-004695,1
903,1407,fig-004965,1
904,1408,fig-002037,1
905,1408,fig-004765,1
906,1408,fig-006888,1
907,1408,fig-007424,1
908,1408,fig-007462,1
909,1410,fig-000020,2
910,1410,fig-001127,2
911,1414,fig-000020,2
912,1416,fig-007712,1
913,1416,fig-009359,1
914,1419,fig-000207,1
915,1420,fig-000424,1
916,1420,fig-004694,1
917,1422,fig-004033,2
918,1422,fig-004034,2
919,1426,fig-001882,1
920,1426,fig-008177,1
921,1426,fig-008178,1
922,1427,fig-007589,1
923,1427,fig-008023,1
924,1427,fig-008024,1
925,1428,fig-006094,1
926,1428,fig-006095,1
927,1435,fig-000367,1
928,1436,fig-000415,1
929,1437,fig-000065,1
930,1440,fig-000069,1
931,1440,fig-000156,2
932,1440,fig-000475,1
933,1453,fig-000787,1
934,1453,fig-006713,1
935,1454,fig-000113,1
936,1461,fig-005787,1
937,1461,fig-005790,1
938,1461,fig-005791,1
939,1461,fig-005792,1
940,1465,fig-001348,1
941,1465,fig-003474,1
942,1471,fig-008658,1
943,1471,fig-008659,1
944,1472,fig-000887,1
945,1478,fig-001511,1
946,1479,fig-009913,1
947,1479,fig-009914,1
948,1479,fig-009915,1
949,1479,fig-009916,1
950,1479,fig-009917,1
951,1484,fig-000258,1
952,1484,fig-008664,1
953,1484,fig-008668,1
954,1484,fig-008669,1
955,1484,fig-008670,1
956,1484,fig-011267,1
957,1485,fig-003186,1
958,1485,fig-003187,1
959,1487,fig-005620,1
960,1494,fig-001160,1
961,1495,fig-000607,1
962,1495,fig-001170,2
963,1495,fig-007213,1
964,1495,fig-007225,1
965,1495,fig-007228,1
966,1495,fig-007229,1
967,1498,fig-000624,1
